模型,全名,预测速度,训练速度, 验证表现,,,,,,
,,,,roc_auc,accuracy,balanced_accuracy,mcc,f1,precision,recall
XGB,XGBoost极端梯度提升,4.66E-06,524.138743,0.995252973497431,0.98563122774776,0.985631227747,0.971279440400807,0.985673590087949,0.982776147,0.988588168143
RF,Random forest随机森林,4.39E-06,204.441093,0.994860661542992,0.985369511967258,0.98536951196,0.970767720161111,0.985425543036209,0.98166601049,0.989213982405532
GBM,LightGBM轻度梯度提升机,2.59E-06,10.597753,0.995302482046038,0.98572315888174,0.98572315888174,0.971463049511928,0.985764932316755,0.982889040435912,0.988657703061157
CAT,CatBoost分割梯度提升,2.43E-06,43.716311,0.995292502581848,0.985700549368512,0.9857005493685,0.97141638823176,0.985740551200865,0.982990695279086,0.98850583538738
XT,extremely randomized trees极度随机树,4.78E-06,182.503923,0.994950904149143,0.985410465047825,0.985410465047826,0.9708488946643,0.985465622798063,0.98175396644619,0.98920545051374
NN,neural network implemented in Pytorch,9.79E-06,434.617562,0.995199279218466,0.985304669589692,0.98530466958969,0.97062963736322,0.9853520350585,0.98218628698439,0.988538256576
,,,,,,,,,,
XGB,XGBoost极端梯度提升,5.91E-06,401.642653,0.995283508774404,0.98566983455808,0.98566983455808,0.971355397859416,0.985710493717926,0.98292163771068,0.98851522046835
RF,Random forest随机森林,5.49E-06,229.284212,0.994860661542992,0.985369511967258,0.985369511967,0.9707677201611,0.985425543036209,0.981666010490354,0.989213982405533
GBM,LightGBM轻度梯度提升机,2.62E-06,10.585436,0.995309452825167,0.98572443866551,0.985724438665509,0.971465565369659,0.985766153867094,0.982893999116157,0.988655143493622
CAT,CatBoost分割梯度提升,1.89E-06,196.651143,0.995258173764866,0.985615870342546,0.985615870342547,0.971248813381512,0.985658387760089,0.98275350979307,0.988580489440504
XT,extremely randomized trees极度随机树,7.16E-06,188.306344,0.994950904149143,0.985410465047825,0.985410465,0.970848894664309,0.985465622798063,0.981753966,0.98920545051
NN,neural network implemented in Pytorch,6.23E-06,529.10896,0.995199108173152,0.985265849482071,0.98526584948207,0.970551315813874,0.985312540663838,0.982200038150951,0.988444832361124
,,,,,,,,,,
,,,,,,,,,,
1层sttacking,,,,,,,,,,
GBM+CAT,,7.78E-06,290.922355,0.995306233529,0.98574832796,0.98574832796,0.971512302416351,0.98578865559695,0.98300706271607,0.988586035170164
,,,,,,,,,,
,,,,,,,,,,
2层sttacking,,,,,,,,,,
GBM+CAT,,1.39E-05,951.240266,0.995310719604798,0.98575813963806,0.985758139638,0.971532347585758,0.985798977152028,0.98298035, 0.9886338137
